panjivarecordid,arrivaldate,conname,shpname,con_ciqid,shp_ciqid,hs6,hs2,n_hs6,shpmtorigin,weightkg,valueofgoodsusd,unit,relationship
272207639,2024-05-06,Hiedelberg Materials US Cement Llc,Akcansa Cimento San Tic. A.Ş.,,,848390,84,1,Turkey,14000000.0,109046000.0,7.789,unmatched
264685008,2024-01-08,Ocp North America Inc.,Ocp S.A.,8360553,5476844,854143,85,1,Morocco,21107000.0,106928000.0,5.065997062585872,arms_length
285511865,2024-11-10,Chemours International Operations Geneva Switzerland,,,,842951,84,1,Australia,14001000.0,104335000.0,7.451967716591672,unmatched
283676355,2024-10-09,Heidelberg Marterials US Cement Llc,Akcansa Cimento Sanayi Ve Ticaret A,,,850153,85,1,Turkey,11000000.0,103818000.0,9.438,unmatched
274765573,2024-06-28,Cemex Construction Materials,Cemex Materials Newfoundland Inc.,6529258,1863586794,842890,84,1,Canada,10011000.0,103764000.0,10.364998501648188,arms_length
285593898,2024-11-04,Heidelberg Marterials US Cement Llc,Akcansa Cimento Sanayi Ve Ticaret A,,,850153,85,1,Turkey,11000000.0,102311000.0,9.301,unmatched
283277732,2024-10-16,Virginia Electirc And Power Co.,Eew Special Pipe Constructions GmbH,3027777,111627123,680690,68,1,Germany,10064430.0,101832000.0,10.118009663736546,arms_length
264540100,2024-01-01,Gulf Inland Marine Inc.,,315554393,,870829,87,1,United Kingdom,14846410.0,101119000.0,6.811006835996042,unmatched
272001265,2024-05-20,Tenaris Bay City,Silcotub S A,1932515075,12144413,722220,72,1,Romania,18996208.0,98609000.0,5.190983379419724,arms_length
285446796,2024-11-08,Usalco Baltimore Plant Llc,Alunorte Alumina Do Nortedo Brasil S.A.,,5529133,846410,84,1,Brazil,12101020.0,98478000.0,8.137991673429182,unmatched
268804035,2024-04-01,Tenaris Global Services USA,Silcotub S A,27880331,12144413,722220,72,1,Romania,15676700.0,94656000.0,6.038005447575063,within_firm
265323394,2024-01-28,American Airlines,Valero Marketing And Supply Co.,168569,4318170,851690,85,1,Bahamas,12531328.0,91015000.0,7.262997185932728,arms_length
289923132,2024-12-26,Eurochem North America Corp.,Jsc Eurochem,1851048718,,850940,85,1,Russia,16014000.0,90479000.0,5.649993755463969,unmatched
288211872,2024-12-09,Gunvor USA Llc,Tupras Turkish Petroleum Refineries,382279966,,020230,02,1,Turkey,15612442.0,87664000.0,5.615008849992845,unmatched
273976137,2024-06-18,Reg Marketing & Logistics Llc,Wilmar Trading (Australia) (Pty) ) Ltd.,660412965,62205308,848390,84,1,Australia,10112532.0,78787000.0,7.79102602592506,arms_length
279273208,2024-08-27,Virginia Electirc And Power Co.,Eew Special Pip,3027777,,680690,68,1,Germany,10661130.0,77677000.0,7.286000639707048,unmatched
289894984,2024-12-28,Virginia Electirc And Power Co.,Eew Special Pipe Constructions GmbH,3027777,111627123,680690,68,1,Germany,10886110.0,76823000.0,7.056974438068328,arms_length
283657034,2024-10-20,Eurochem North America Corp.,Joint Stock Com Eurochem,1851048718,,850940,85,1,Russia,15009200.0,76352000.0,5.087013298510247,unmatched
266972344,2024-02-26,Tenaris Bay City,Silcotub S A,1932515075,12144413,722220,72,1,Romania,12642000.0,76332000.0,6.03796867584243,arms_length
268546734,2024-03-03,Eastern Salt Co. Inc.,Compania Minera Cordillera Chile,116787941,1973880675,381590,38,1,Chile,12606000.0,72749000.0,5.7709820720291924,arms_length
265656499,2024-02-01,Tenaris Bay City,Silcotub S A,1932515075,12144413,722220,72,1,Romania,11185856.0,67540000.0,6.037982251872364,arms_length
267195244,2024-02-10,Eastern Salt Co. Inc.,Compania Minera Cordillera Chile,116787941,1973880675,381590,38,1,Chile,11500000.0,66367000.0,5.77104347826087,arms_length
272001266,2024-05-20,Tenaris Bay City,Silcotub S A,1932515075,12144413,722220,72,1,Romania,10668460.0,55380000.0,5.191002262744576,arms_length
289264037,2024-12-22,Valero Marketing And Supply Co.,Valero Energy Inc.,4318170,,291899,29,1,Canada,10370843.0,55297000.0,5.331967709857338,unmatched
264685009,2024-01-08,Ocp North America Inc.,Ocp S.A.,8360553,5476844,854143,85,1,Morocco,10880000.0,55118000.0,5.065992647058824,arms_length
289732495,2024-12-15,Global Companies,Equinor Asa,4293006,989228,284690,28,1,Norway,10372500.0,52972000.0,5.1069655338635815,arms_length
